id;returned_code;message
1;0;Transaction authorized
2;105;Transaction unauthorized. Restricted card
3;62;Unauthorized
4;75;Transaction canceled
5;109;Transaction unauthorized. Unexistent card
6;51;Invalid merchant. Please contact the store responsible for the sale
7;69;Transaction not allowed for this product or service.
8;106;Error in issuer processing. Please try again.
9;111;Unauthorized. Insufficient funds.
10;110;Unauthorized. Transaction type not allowed for this card.
11;9109;Acquirer processing error.
12;112;Unauthorized. Expired card
13;113;Unauthorized. Identified moderate risk by the issuer.
14;119;Unauthorized. Invalid cvv
15;118;Unauthorized. Blocked card
